cut_in_speed,wind_curve_V0,wind_curve_b,powerScale,error_percent,error_abs,kde_error
2.908,5.554,0.589,0.817,27.8,188045.0,207.0
2.102,6.086,1.123,0.86,27.8,188356.0,169.0
2.706,5.805,0.84,0.827,27.9,188952.0,159.0
3.973,8.618,0.476,0.845,-27.9,189032.0,188.0
3.992,8.376,0.83,0.866,-27.9,189074.0,167.0
2.51,9.969,0.349,0.999,-28.0,189679.0,347.0
3.534,6.038,1.067,0.86,28.0,189706.0,189.0
2.256,6.615,0.318,0.983,28.1,190461.0,407.0
2.494,9.464,0.298,0.848,-28.2,191253.0,490.0
3.661,4.665,0.399,0.81,28.3,191788.0,391.0
3.479,5.747,1.084,0.817,28.4,192231.0,203.0
3.094,5.68,0.915,0.812,28.5,193206.0,184.0
3.698,6.144,1.193,0.882,28.6,193457.0,196.0
3.695,5.754,0.915,0.834,28.6,193893.0,208.0
3.579,9.883,0.346,0.994,-28.8,194851.0,324.0
3.87,3.988,0.279,0.838,28.8,195071.0,440.0
3.151,6.684,0.67,0.997,28.8,195192.0,130.0
2.809,5.497,0.468,0.837,28.9,195841.0,299.0
2.943,5.72,1.096,0.815,28.9,195926.0,190.0
2.629,8.817,0.49,0.856,-29.1,196873.0,210.0
2.476,8.782,0.705,0.93,-29.1,197255.0,164.0
3.431,8.39,0.595,0.806,-29.3,198184.0,148.0
3.907,8.725,0.428,0.834,-29.3,198242.0,256.0
3.419,9.593,0.292,0.872,-29.4,199048.0,470.0
2.398,6.125,0.353,0.931,29.4,199069.0,379.0
2.565,5.238,0.357,0.837,29.4,199075.0,414.0
2.643,6.482,0.856,0.952,29.6,200499.0,136.0
3.281,5.676,0.337,0.915,29.8,201937.0,400.0
3.475,5.65,0.982,0.82,29.8,202015.0,208.0
2.659,5.308,0.205,0.917,30.0,202942.0,558.0
2.181,6.298,0.521,0.934,30.0,203406.0,180.0
3.017,8.604,1.158,0.943,-30.1,203727.0,282.0
3.872,5.546,0.609,0.857,30.2,204304.0,242.0
2.746,9.038,0.454,0.872,-30.2,204539.0,232.0
2.115,9.946,0.262,0.842,-30.4,205890.0,567.0
2.623,8.554,1.178,0.926,-30.4,205912.0,285.0
3.905,3.852,0.252,0.861,30.5,206372.0,439.0
2.476,9.103,0.66,0.987,-30.6,207057.0,175.0
2.288,8.718,0.96,0.951,-30.6,207352.0,246.0
3.889,5.604,0.673,0.855,30.7,207988.0,230.0
3.081,5.104,0.479,0.815,30.8,208349.0,321.0
3.572,8.261,1.16,0.83,-30.9,209534.0,266.0
2.207,8.808,0.809,0.94,-31.1,210896.0,207.0
3.535,6.228,0.528,0.96,31.2,211260.0,218.0
2.301,5.836,0.835,0.853,31.2,211533.0,156.0
2.316,6.173,0.584,0.922,31.2,211577.0,140.0
3.503,4.693,0.229,0.908,31.3,211678.0,470.0
2.548,6.534,1.158,0.972,31.3,212243.0,168.0
2.616,8.58,0.628,0.83,-31.4,212519.0,163.0
3.34,5.742,0.359,0.932,31.6,213747.0,376.0
3.872,5.575,0.403,0.927,31.6,214305.0,346.0
2.321,8.982,0.462,0.841,-31.7,214658.0,251.0
2.592,6.349,1.04,0.94,31.7,214928.0,162.0
2.655,8.816,0.792,0.93,-31.8,215061.0,202.0
3.125,8.617,1.1,0.919,-31.8,215086.0,274.0
2.243,9.021,0.58,0.911,-31.8,215404.0,183.0
2.464,5.904,0.85,0.865,31.9,215797.0,159.0
3.511,8.79,1.132,0.981,-31.9,215820.0,289.0
2.404,5.538,0.769,0.816,31.9,216073.0,169.0
2.881,9.205,0.355,0.818,-32.0,216583.0,377.0
2.993,5.51,0.317,0.908,32.2,218070.0,428.0
3.215,8.767,0.65,0.873,-32.2,218336.0,156.0
3.599,9.166,0.554,0.939,-32.3,218774.0,160.0
3.423,9.265,0.576,0.973,-32.4,219636.0,168.0
2.422,9.127,0.385,0.811,-32.5,219827.0,347.0
3.218,6.555,1.172,0.987,32.5,220087.0,175.0
2.821,8.511,0.666,0.806,-32.5,220291.0,153.0
2.315,9.485,0.465,0.945,-32.6,220480.0,236.0
2.129,6.433,0.265,0.996,32.6,220547.0,478.0
